name,population_2001,births_2002,deaths_2002,natchange_2002,internal_in_2002,internal_out_2002,internal_net_2002,international_in_2002,international_out_2002,international_net_2002,other_change_2002,population_2002,births_2003,deaths_2003,natchange_2003,internal_in_2003,internal_out_2003,internal_net_2003,international_in_2003,international_out_2003,international_net_2003,other_change_2003,population_2003,births_2004,deaths_2004,natchange_2004,internal_in_2004,internal_out_2004,internal_net_2004,international_in_2004,international_out_2004,international_net_2004,other_change_2004,population_2004,births_2005,deaths_2005,natchange_2005,internal_in_2005,internal_out_2005,internal_net_2005,international_in_2005,international_out_2005,international_net_2005,other_change_2005,population_2005,births_2006,deaths_2006,natchange_2006,internal_in_2006,internal_out_2006,internal_net_2006,international_in_2006,international_out_2006,international_net_2006,other_change_2006,population_2006,births_2007,deaths_2007,natchange_2007,internal_in_2007,internal_out_2007,internal_net_2007,international_in_2007,international_out_2007,international_net_2007,other_change_2007,population_2007,births_2008,deaths_2008,natchange_2008,internal_in_2008,internal_out_2008,internal_net_2008,international_in_2008,international_out_2008,international_net_2008,other_change_2008,population_2008,births_2009,deaths_2009,natchange_2009,internal_in_2009,internal_out_2009,internal_net_2009,international_in_2009,international_out_2009,international_net_2009,other_change_2009,population_2009,births_2010,deaths_2010,natchange_2010,internal_in_2010,internal_out_2010,internal_net_2010,international_in_2010,international_out_2010,international_net_2010,other_change_2010,population_2010,births_2011,deaths_2011,natchange_2011,internal_in_2011,internal_out_2011,internal_net_2011,international_in_2011,international_out_2011,international_net_2011,other_change_2011,population_2011,births_2012,deaths_2012,natchange_2012,internal_in_2012,internal_out_2012,internal_net_2012,international_in_2012,international_out_2012,international_net_2012,other_change_2012,population_2012,births_2013,deaths_2013,natchange_2013,internal_in_2013,internal_out_2013,internal_net_2013,international_in_2013,international_out_2013,international_net_2013,other_change_2013,population_2013,births_2014,deaths_2014,natchange_2014,internal_in_2014,internal_out_2014,internal_net_2014,international_in_2014,international_out_2014,international_net_2014,other_change_2014,population_2014
Greenwich,217460,3282,1909,1373,14700,15191,-491,3427,1979,1448,1686,221476,3389,1983,1406,14964,16386,-1422,3419,2241,1178,1665,224303,3516,1983,1533,14846,16968,-2122,3672,1890,1782,1694,227190,3937,1982,1955,15497,17550,-2053,3910,2267,1643,1759,230494,4079,1801,2278,15344,17753,-2409,4649,2855,1794,1833,233990,4361,1776,2585,15860,19266,-3406,4762,3262,1500,1866,236535,4439,1777,2662,14832,18809,-3977,5298,2676,2622,1906,239748,4437,1662,2775,14805,17608,-2803,4730,2619,2111,1841,243672,4549,1693,2856,15666,17644,-1978,5728,2848,2880,1741,249171,4581,1600,2981,15966,17265,-1299,5315,2533,2782,1848,255483,4598,1583,3015,17408,18840,-1432,4675,2108,2567,435,260068,4564,1538,3026,17640,18511,-871,3872,2054,1818,-33,264008,4405,1510,2895,18150,19412,-1262,4575,1782,2793,244,268678
Hackney,207246,4130,1214,2916,13779,17852,-4073,4865,1788,3077,1795,210961,4220,1295,2925,13726,19604,-5878,5112,2514,2598,1799,212405,4257,1255,3002,13067,19579,-6512,4915,2023,2892,1794,213581,4378,1183,3195,13742,18735,-4993,5243,2289,2954,1775,216512,4473,1241,3232,14140,18330,-4190,5099,2247,2852,1787,220193,4516,1156,3360,14921,18274,-3353,5028,2501,2527,1753,224480,4427,1090,3337,16426,18386,-1960,5770,2302,3468,1716,231041,4443,1109,3334,18037,18799,-762,4764,3403,1361,1648,236622,4588,1082,3506,18225,18710,-485,4255,3670,585,1511,241739,4495,1049,3446,17253,18251,-998,4545,2874,1671,1324,247182,4445,1055,3390,18873,18739,134,4517,3097,1420,-7,252119,4507,1055,3452,18866,19105,-239,4859,2838,2021,26,257379,4372,967,3405,19999,20225,-226,5285,2693,2592,0,263150
Hammersmith and Fulham,169374,2452,1026,1426,13999,16936,-2937,7259,4015,3244,882,171989,2592,1107,1485,14017,17600,-3583,7044,6176,868,751,171510,2603,1050,1553,14165,17534,-3369,6601,4879,1722,667,172083,2654,995,1659,14524,17273,-2749,6962,5222,1740,559,173292,2698,886,1812,15047,17529,-2482,6596,5274,1322,731,174675,2759,954,1805,16374,17767,-1393,6904,6310,594,791,176472,2730,979,1751,16086,18486,-2400,6328,5720,608,657,177088,2738,908,1830,17286,17205,81,7146,6799,347,770,180116,2830,868,1962,18016,18551,-535,5973,7200,-1227,526,180842,2778,924,1854,17139,18224,-1085,5315,5168,147,687,182445,2716,896,1820,16737,18599,-1862,5110,7615,-2505,-48,179850,2599,880,1719,15634,18577,-2943,5024,4983,41,18,178685,2494,813,1681,16336,19584,-3248,5917,4640,1277,-30,178365
Haringey,221251,3780,1422,2358,16093,21943,-5850,8970,3053,5917,798,224474,3847,1464,2383,16159,22551,-6392,7576,3856,3720,842,225027,3966,1434,2532,16170,22426,-6256,6952,2687,4265,904,226472,3964,1264,2700,16337,21925,-5588,7507,2700,4807,880,229271,3980,1234,2746,17491,22060,-4569,7412,2600,4812,914,233174,4275,1253,3022,17837,23134,-5297,7909,2894,5015,879,236793,4325,1228,3097,18211,21797,-3586,10200,2931,7269,886,244459,4234,1126,3108,18584,21990,-3406,9225,4425,4800,844,249805,4356,1171,3185,19293,23325,-4032,8365,5329,3036,748,252742,4339,1140,3199,18876,23134,-4258,6921,3554,3367,490,255540,4190,1161,3029,19381,23002,-3621,6797,2825,3972,-8,258912,4150,1068,3082,19699,23191,-3492,6777,1917,4860,24,263386,4091,1085,3006,20626,25038,-4412,8230,2671,5559,2,267541
Harrow,210044,2602,1622,980,13141,14401,-1260,3705,1529,2176,396,212336,2714,1667,1047,12885,14748,-1863,3439,1561,1878,330,213728,2814,1631,1183,13558,15095,-1537,3962,1348,2614,279,216267,2872,1694,1178,13931,14497,-566,5188,1327,3861,369,221109,2922,1532,1390,13648,15500,-1852,4147,1534,2613,372,223632,2962,1503,1459,14201,15802,-1601,4312,1816,2496,369,226355,3193,1461,1732,13679,14959,-1280,4031,1632,2399,361,229567,3264,1440,1824,13830,14728,-898,4513,1824,2689,313,233495,3344,1432,1912,13694,15015,-1321,4900,1812,3088,277,237451,3444,1396,2048,13274,14776,-1502,3805,1334,2471,31,240499,3530,1439,2091,13944,15846,-1902,3134,1440,1694,-5,242377,3620,1449,2171,13300,15652,-2352,2869,1716,1153,24,243373,3574,1392,2182,13704,16310,-2606,4526,1496,3030,32,246011
Havering,224717,2345,2403,-58,9052,9081,-29,940,472,468,-44,225054,2345,2523,-178,9224,9135,89,913,572,341,-58,225248,2396,2354,42,9603,9627,-24,823,286,537,-34,225769,2484,2353,131,9795,9098,697,826,363,463,-70,226990,2462,2277,185,9944,9184,760,727,394,333,-70,228198,2529,2162,367,10881,9748,1133,898,693,205,-114,229789,2698,2196,502,10637,9477,1160,915,463,452,-110,231793,2734,2246,488,9729,8251,1478,985,453,532,-164,234127,2726,2153,573,9989,8885,1104,1015,354,661,-231,236234,2851,2127,724,9424,8797,627,986,245,741,-399,237927,2933,2176,757,10383,9598,785,731,465,266,-2,239733,2926,2335,591,10930,9460,1470,730,459,271,15,242080,3088,2111,977,12515,10271,2244,1139,466,673,0,245974
Hillingdon,245616,3252,2055,1197,14347,15611,-1264,2794,1072,1722,-208,247063,3307,2069,1238,14374,16235,-1861,3091,1238,1853,-239,248054,3437,2132,1305,14442,16762,-2320,3627,1253,2374,-722,248691,3408,2025,1383,14703,15996,-1293,4352,1474,2878,-229,251430,3627,1869,1758,15127,16143,-1016,4177,1738,2439,-224,254387,3724,1863,1861,15882,17446,-1564,4563,2006,2557,-260,256981,4067,1873,2194,16050,16668,-618,4249,1493,2756,-262,261051,4139,1871,2268,15628,15197,431,4146,1899,2247,-332,265665,4164,1738,2426,15413,16041,-628,4446,1972,2474,-472,269465,4301,1794,2507,15789,15970,-181,6279,1873,4406,-698,275499,4459,1832,2627,17216,17109,107,5072,1573,3499,24,281756,4390,1843,2547,16530,16827,-297,4363,1530,2833,-31,286808,4369,1733,2636,16995,17795,-800,5406,1436,3970,76,292690
Hounslow,215976,3172,1705,1467,13564,17527,-3963,5608,2469,3139,269,216888,3271,1702,1569,13250,18204,-4954,5256,2681,2575,420,216498,3481,1664,1817,13945,18039,-4094,6924,2034,4890,329,219440,3668,1574,2094,14196,17806,-3610,7922,2435,5487,365,223776,3762,1562,2200,14701,17776,-3075,7750,2936,4814,411,228126,3881,1409,2472,16017,18257,-2240,8218,3510,4708,388,233454,4258,1424,2834,15546,19120,-3574,8465,3646,4819,374,237907,4168,1390,2778,15738,17483,-1745,8394,4415,3979,447,243366,4372,1422,2950,15911,17119,-1208,8900,5073,3827,301,249236,4469,1435,3034,15715,16783,-1068,6832,3359,3473,252,254927,4671,1422,3249,15898,17841,-1943,4896,2065,2831,-12,259052,4512,1436,3076,15313,18065,-2752,4689,1695,2994,37,262407,4344,1354,2990,15677,19355,-3678,5614,2007,3607,242,265568
Islington,179387,2521,1238,1283,16150,17964,-1814,6164,4274,1890,-628,180118,2609,1273,1336,16972,18753,-1781,6320,4581,1739,-513,180899,2646,1256,1390,16258,19008,-2750,6075,4224,1851,-559,180831,2718,1210,1508,17706,18966,-1260,7058,4156,2902,-504,183477,2702,1132,1570,18210,20101,-1891,7454,4770,2684,-557,185283,2831,1121,1710,19724,20665,-941,8335,5291,3044,-460,188636,2859,1160,1699,19633,20431,-798,7872,4817,3055,-503,192089,2922,1089,1833,21410,20607,803,7885,5285,2600,-621,196704,3005,1091,1914,20341,20894,-553,8522,5781,2741,-677,200129,3015,1003,2012,20079,20273,-194,10314,5104,5210,-872,206285,2945,1034,1911,19864,21478,-1614,8440,4103,4337,128,211047,2945,1051,1894,19543,20669,-1126,7477,3629,3848,8,215671,2841,1015,1826,20749,21816,-1067,8102,3482,4620,-20,221030
Kensington and Chelsea,162199,2116,995,1121,10103,12977,-2874,9991,6054,3937,-556,163827,2222,963,1259,10571,12455,-1884,10144,7505,2639,-573,165268,2242,900,1342,10148,12220,-2072,9464,7658,1806,-592,165752,2177,931,1246,10412,12400,-1988,11453,7482,3971,-606,168375,2237,879,1358,10356,12173,-1817,5296,7347,-2051,-620,165245,2267,824,1443,10600,12608,-2008,5470,6652,-1182,-615,162883,2213,863,1350,10130,12177,-2047,6508,5474,1034,-641,162579,2220,820,1400,11208,12147,-939,6012,6466,-454,-693,161893,2268,814,1454,11523,12922,-1399,5975,6706,-731,-754,160463,2231,828,1403,10642,12692,-2050,5052,5772,-720,-845,158251,2064,829,1235,10304,12560,-2256,4559,5870,-1311,11,155930,1909,809,1100,10391,11667,-1276,4437,4607,-170,10,155594,1820,732,1088,10999,12579,-1580,4882,3823,1059,29,156190
