name,population_2001,births_2002,deaths_2002,natchange_2002,internal_in_2002,internal_out_2002,internal_net_2002,international_in_2002,international_out_2002,international_net_2002,other_change_2002,population_2002,births_2003,deaths_2003,natchange_2003,internal_in_2003,internal_out_2003,internal_net_2003,international_in_2003,international_out_2003,international_net_2003,other_change_2003,population_2003,births_2004,deaths_2004,natchange_2004,internal_in_2004,internal_out_2004,internal_net_2004,international_in_2004,international_out_2004,international_net_2004,other_change_2004,population_2004,births_2005,deaths_2005,natchange_2005,internal_in_2005,internal_out_2005,internal_net_2005,international_in_2005,international_out_2005,international_net_2005,other_change_2005,population_2005,births_2006,deaths_2006,natchange_2006,internal_in_2006,internal_out_2006,internal_net_2006,international_in_2006,international_out_2006,international_net_2006,other_change_2006,population_2006,births_2007,deaths_2007,natchange_2007,internal_in_2007,internal_out_2007,internal_net_2007,international_in_2007,international_out_2007,international_net_2007,other_change_2007,population_2007,births_2008,deaths_2008,natchange_2008,internal_in_2008,internal_out_2008,internal_net_2008,international_in_2008,international_out_2008,international_net_2008,other_change_2008,population_2008,births_2009,deaths_2009,natchange_2009,internal_in_2009,internal_out_2009,internal_net_2009,international_in_2009,international_out_2009,international_net_2009,other_change_2009,population_2009,births_2010,deaths_2010,natchange_2010,internal_in_2010,internal_out_2010,internal_net_2010,international_in_2010,international_out_2010,international_net_2010,other_change_2010,population_2010,births_2011,deaths_2011,natchange_2011,internal_in_2011,internal_out_2011,internal_net_2011,international_in_2011,international_out_2011,international_net_2011,other_change_2011,population_2011,births_2012,deaths_2012,natchange_2012,internal_in_2012,internal_out_2012,internal_net_2012,international_in_2012,international_out_2012,international_net_2012,other_change_2012,population_2012,births_2013,deaths_2013,natchange_2013,internal_in_2013,internal_out_2013,internal_net_2013,international_in_2013,international_out_2013,international_net_2013,other_change_2013,population_2013,births_2014,deaths_2014,natchange_2014,internal_in_2014,internal_out_2014,internal_net_2014,international_in_2014,international_out_2014,international_net_2014,other_change_2014,population_2014
Kingston upon Thames,149045,1836,1306,530,11190,11720,-530,3721,1706,2015,-1418,149642,1794,1252,542,11564,12091,-527,3633,2181,1452,-1426,149683,1945,1263,682,11763,11653,110,3423,1407,2016,-1436,151055,2036,1132,904,11769,11923,-154,3675,1556,2119,-1435,152489,2024,1152,872,12753,12372,381,3330,1931,1399,-1474,153667,2142,1117,1025,13080,12939,141,3605,2426,1179,-1527,154485,2202,1099,1103,12352,12343,9,3699,1756,1943,-1513,156027,2292,1024,1268,11983,12491,-508,3578,1532,2046,-1526,157307,2270,1011,1259,12009,12656,-647,3599,1294,2305,-1576,158648,2336,1019,1317,11982,12738,-756,4153,1392,2761,-1534,160436,2306,1014,1292,12688,12667,21,3400,1262,2138,19,163906,2213,1097,1116,12281,12334,-53,2865,1038,1827,-3,166793,2169,991,1178,12850,13038,-188,3280,1144,2136,39,169958
Lambeth,273372,4341,1731,2610,21677,28245,-6568,6635,3432,3203,424,273041,4565,1770,2795,22906,29444,-6538,6507,4107,2400,497,272195,4815,1704,3111,23274,29096,-5822,7713,3375,4338,440,274262,4646,1689,2957,24402,29824,-5422,8571,3258,5313,510,277620,4849,1589,3260,24713,29982,-5269,7055,2654,4401,512,280524,4836,1558,3278,25392,30374,-4982,9153,3574,5579,565,284964,4918,1512,3406,26133,29629,-3496,7667,3887,3780,472,289126,4795,1601,3194,28398,29409,-1011,7905,5654,2251,490,294050,4931,1400,3531,28078,29675,-1597,7422,6145,1277,389,297650,4877,1383,3494,28959,28872,87,8532,5608,2924,326,304481,4833,1369,3464,30070,30786,-716,7405,4710,2695,276,310200,4645,1366,3279,29059,31792,-2733,7471,4204,3267,229,314242,4571,1341,3230,30791,32699,-1908,7100,4455,2645,7,318216
Lewisham,254336,3773,2036,1737,15613,20455,-4842,4151,1677,2474,-43,253662,3836,2009,1827,15746,21254,-5508,4081,2097,1984,-29,251936,4004,1950,2054,16908,21192,-4284,4350,1626,2724,25,252455,4131,1923,2208,18148,21540,-3392,5507,1814,3693,-34,254930,4529,1790,2739,18466,21364,-2898,5065,1817,3248,-43,257976,4557,1642,2915,19429,22124,-2695,5276,2251,3025,-33,261188,4873,1775,3098,19601,21044,-1443,5649,1960,3689,-24,266508,4777,1701,3076,19992,21164,-1172,4870,2833,2037,-31,270418,4975,1615,3360,18787,21492,-2705,4326,2710,1616,-164,272525,5018,1601,3417,19406,20762,-1356,5411,2736,2675,-323,276938,4940,1489,3451,20756,22201,-1445,4704,2086,2618,-6,281556,4951,1545,3406,21187,22382,-1195,4263,1856,2407,6,286180,4753,1461,3292,22542,23329,-787,5188,1954,3234,14,291933
Merton,191106,2576,1399,1177,13021,15351,-2330,4880,2968,1912,-1304,190561,2612,1420,1192,13135,15597,-2462,4412,3115,1297,-1290,189298,2785,1455,1330,13324,15956,-2632,4700,2488,2212,-1300,188908,2893,1316,1577,13835,15461,-1626,5282,2257,3025,-1301,190583,2972,1309,1663,14381,15996,-1615,5814,2579,3235,-1346,192520,3246,1296,1950,14735,16894,-2159,6076,2736,3340,-1391,194260,3331,1259,2072,14224,16338,-2114,5530,2460,3070,-1429,195859,3371,1219,2152,14740,15378,-638,4929,2656,2273,-1510,198136,3475,1219,2256,15106,15987,-881,3881,2649,1232,-1607,199136,3543,1128,2415,14585,15451,-866,3761,2132,1629,-1771,200543,3507,1202,2305,15191,15865,-674,3170,3120,50,1,202225,3474,1217,2257,15100,16559,-1459,2858,2681,177,23,203223,3308,1193,2115,15250,17615,-2365,3622,3082,540,2,203515
Newham,249411,4851,1635,3216,13742,20634,-6892,9386,2070,7316,2231,255282,5019,1581,3438,13805,22986,-9181,7416,3025,4391,2294,256224,5095,1587,3508,13965,24849,-10884,5812,2601,3211,2375,254434,5240,1567,3673,14228,24320,-10092,6259,2813,3446,2337,253798,5488,1525,3963,14721,24266,-9545,10844,3446,7398,2380,257994,5711,1410,4301,15356,24129,-8773,13934,3497,10437,2326,266285,6112,1437,4675,15411,23535,-8124,13896,2522,11374,2268,276478,5897,1365,4532,16068,23932,-7864,14758,3676,11082,2219,286447,6133,1304,4829,15158,23976,-8818,18787,4030,14757,1956,299171,6332,1201,5131,15790,23218,-7428,16545,4344,12201,1385,310460,6467,1295,5172,17326,25685,-8359,12371,5542,6829,-18,314084,6260,1280,4980,17706,25713,-8007,11324,4173,7151,19,318227,6285,1193,5092,18678,27212,-8534,13688,4170,9518,19,324322
Redbridge,241893,3095,2149,946,13920,15522,-1602,4153,1075,3078,-42,244273,3352,2041,1311,16116,16373,-257,3584,1441,2143,-58,247412,3380,2078,1302,15620,17401,-1781,3241,1389,1852,-11,248774,3494,2048,1446,15624,16213,-589,3494,1541,1953,-24,251560,3792,1911,1881,16341,16487,-146,3972,1689,2283,12,255590,3993,1885,2108,16969,17455,-486,4669,1918,2751,2,259965,4061,1773,2288,17193,16964,229,4533,1643,2890,80,265452,4122,1790,2332,17171,16391,780,4282,2506,1776,95,270435,4349,1759,2590,17159,16994,165,4479,2725,1754,144,275088,4541,1752,2789,16396,16461,-65,5743,2223,3520,63,281395,4769,1740,3029,16801,18983,-2182,4309,1932,2377,-2,284617,4706,1805,2901,17492,18805,-1313,3847,1798,2049,18,288272,4592,1589,3003,18830,20452,-1622,5189,1786,3403,-1,293055
Richmond upon Thames,174311,2311,1420,891,12407,13690,-1283,4536,2350,2186,-664,175441,2568,1431,1137,13200,13718,-518,4465,2627,1838,-716,177182,2565,1425,1140,13126,13366,-240,3612,1716,1896,-666,179312,2565,1293,1272,13400,13100,300,3396,2041,1355,-731,181508,2626,1282,1344,13582,13304,278,2429,2288,141,-751,182520,2822,1253,1569,13634,14180,-546,2880,3290,-410,-712,182421,2939,1196,1743,13050,13713,-663,2664,2493,171,-745,182927,2834,1103,1731,13131,12642,489,2899,2920,-21,-732,184394,2984,1171,1813,13319,12848,471,2733,2346,387,-761,186304,2895,1145,1750,12918,12939,-21,2154,1931,223,-729,187527,2980,1174,1806,13717,13465,252,1832,2058,-226,-214,189145,2826,1278,1548,13779,13283,496,1636,1497,139,37,191365,2698,1088,1610,14219,14011,208,1859,1433,426,-24,193585
Southwark,256712,4091,1792,2299,17542,22847,-5305,6086,2273,3813,-1250,256269,4174,1746,2428,18213,23959,-5746,6640,3103,3537,-1246,255242,4398,1754,2644,19593,24508,-4915,7725,2228,5497,-1211,257257,4600,1641,2959,21085,25657,-4572,9725,2275,7450,-1283,261811,4606,1503,3103,22025,25500,-3475,9789,2375,7414,-1300,267553,4890,1503,3387,22251,25989,-3738,9610,2841,6769,-1345,272626,4992,1489,3503,22167,26173,-4006,8905,2678,6227,-1377,276973,5025,1503,3522,23272,26346,-3074,9013,3852,5161,-1462,281120,4873,1408,3465,23277,27207,-3930,8772,4164,4608,-1486,283777,5202,1381,3821,23874,26096,-2222,8557,3494,5063,-1722,288717,5028,1298,3730,24736,26926,-2190,7758,4479,3279,-6,293530,4908,1288,3620,25267,27520,-2253,8241,4700,3541,27,298465,4663,1279,3384,25873,29411,-3538,8778,4568,4210,17,302538
Sutton,181461,2009,1693,316,9801,10194,-393,1515,885,630,-749,181265,2243,1667,576,9955,10434,-479,1627,968,659,-754,181267,2172,1710,462,9753,10349,-596,1423,718,705,-744,181094,2345,1499,846,9995,9708,287,1519,860,659,-783,182103,2320,1520,800,10496,10137,359,1328,927,401,-781,182882,2516,1430,1086,11285,10632,653,1617,1254,363,-810,184174,2576,1532,1044,10567,9683,884,1411,839,572,-814,185860,2716,1425,1291,10347,8982,1365,1398,866,532,-881,188167,2701,1436,1265,9986,9551,435,1167,730,437,-983,189321,2688,1383,1305,9937,8977,960,1219,637,582,-1045,191123,2835,1358,1477,10665,9926,739,980,688,292,-1,193630,2639,1461,1178,10330,9574,756,941,611,330,20,195914,2642,1478,1164,11077,10483,594,1071,606,465,-3,198134
Tower Hamlets,201090,3823,1355,2468,14098,15549,-1451,8043,2656,5387,-463,207031,3922,1353,2569,14066,16955,-2889,7127,4703,2424,-484,208651,4031,1253,2778,14281,17964,-3683,7461,3641,3820,-412,211154,3933,1156,2777,15006,18495,-3489,7086,3678,3408,-468,213382,4068,1199,2869,16250,18423,-2173,8601,3814,4787,-465,218400,4152,1164,2988,16835,19556,-2721,10516,3451,7065,-481,225251,4227,1112,3115,17463,19642,-2179,9828,3633,6195,-489,231893,4218,1098,3120,20339,19261,1078,9807,4819,4988,-584,240495,4497,1037,3460,21491,20463,1028,11650,7305,4345,-808,248520,4490,1038,3452,20870,20891,-21,10345,5307,5038,-977,256012,4710,1063,3647,21047,22715,-1668,10616,5590,5026,-14,263003,4805,1018,3787,21205,22137,-932,12018,5005,7013,19,272890,4520,1002,3518,23142,24017,-875,13117,4650,8467,15,284015
Waltham Forest,222015,3545,1889,1656,11172,15559,-4387,5301,2462,2839,1653,223776,3663,1909,1754,12146,16948,-4802,4741,3043,1698,1689,224115,3873,1782,2091,11780,17007,-5227,4958,2673,2285,1738,225002,3948,1776,2172,12036,16384,-4348,5256,3079,2177,1744,226747,4030,1612,2418,12729,16107,-3378,6513,3331,3182,1762,230731,4413,1611,2802,13175,16958,-3783,7736,3577,4159,1756,235665,4491,1491,3000,13521,16880,-3359,7921,2898,5023,1769,242098,4547,1480,3067,13807,16626,-2819,7238,3178,4060,1734,248140,4636,1431,3205,14348,17035,-2687,6570,2843,3727,1624,254009,4830,1340,3490,13280,16750,-3470,6779,2489,4290,1423,259742,4892,1458,3434,14353,18232,-3879,6098,2825,3273,-4,262566,4754,1402,3352,14644,18484,-3840,5823,2117,3706,13,265797,4540,1346,3194,15068,21120,-6052,7652,2577,5075,6,268020
Wandsworth,271742,3976,2004,1972,25366,28472,-3106,7971,4720,3251,1058,274917,4267,1930,2337,26218,29702,-3484,8155,6003,2152,906,276828,4447,1908,2539,25893,29958,-4065,8013,5560,2453,860,278615,4370,1851,2519,26855,29189,-2334,8590,5086,3504,925,283229,4751,1769,2982,27757,30171,-2414,8068,5200,2868,873,287538,5044,1738,3306,28534,31346,-2812,8733,6252,2481,927,291440,5015,1667,3348,28120,30580,-2460,8443,7366,1077,900,294305,5317,1629,3688,30126,29215,911,8019,8357,-338,781,299347,5407,1617,3790,30737,30814,-77,7049,8169,-1120,680,302620,5548,1524,4024,29894,30155,-261,6605,5897,708,619,307710,5478,1515,3963,30401,31868,-1467,5973,7567,-1594,-300,308312,5269,1531,3738,29762,31386,-1624,6202,6100,102,-12,310516,5206,1479,3727,31074,33217,-2143,7005,7246,-241,286,312145
Westminster,203329,2531,1372,1159,20051,18823,1228,11810,6425,5385,-3001,208100,2677,1336,1341,19010,19897,-887,12794,7246,5548,-3093,211009,2776,1386,1390,16748,20146,-3398,14287,5326,8961,-3405,214557,2765,1298,1467,19232,19576,-344,16797,6159,10638,-3186,223132,2948,1140,1808,18526,20359,-1833,10237,7371,2866,-3144,222829,2953,1142,1811,18429,21008,-2579,10841,9048,1793,-3235,220619,2895,1076,1819,18216,21102,-2886,10040,7761,2279,-3158,218673,2939,1052,1887,19671,21092,-1421,10692,9650,1042,-3201,216980,3006,1106,1900,20673,20672,1,11386,9791,1595,-3289,217187,3086,1103,1983,18879,20897,-2018,14716,8982,5734,-3304,219582,3008,1115,1893,18129,21331,-3202,13419,7820,5599,-14,223858,2832,1108,1724,16646,22984,-6338,13549,6003,7546,51,226841,2574,1007,1567,17127,21127,-4000,14459,5573,8886,-2,233292
